"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL385265";"";"0";"540.79";"2";"6.30";"81b";"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C[C@@H]2OC(=O)C(=C)[C@H]2CC(C)C)C[C@@H](O)[C@H](CCCO)[C@@H]1O";"IC50";"'='";"9.3";"nM";"8.03";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL910037";"Antagonist activity against 1-alpha,25-dihydroxy vitamin D3-induced HL60 cell differentiation by NBT reduction method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137357";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307654";""
"CHEMBL213868";"";"0";"454.65";"1";"5.66";"5";"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C[C@H]2OC(=O)C(=C)C2(C)C)C[C@@H](O)C[C@@H]1O";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL910037";"Antagonist activity against 1-alpha,25-dihydroxy vitamin D3-induced HL60 cell differentiation by NBT reduction method";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137357";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307654";""
"CHEMBL1551";"URSODIOL";"4";"392.58";"0";"4.48";"UDCA";"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C";"IC50";"'>'";"150000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3766234";"Antagonist activity against VDR-LBD (unknown origin) expressed in Escherichia coli assessed as inhibition of VDR agonist LG190178-induced SRC2-3 coactivator peptide recruitment after 30 mins by fluorescence polarization assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3763103";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2016";"None";""
"CHEMBL442191";"";"0";"416.65";"1";"5.70";"2";"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL858933";"Inhibition of transactivation of human VDR in COS7 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149414";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307648";""
"CHEMBL442191";"";"0";"416.65";"1";"5.70";"2";"C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL859065";"Antagonistic activity against human VDR in presence of 1,25(OH)2D3";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149414";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL3264169";"";"0";"458.73";"1";"6.73";"9b";"C=C1[C@H](O)CC(=C/C=C2\CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)[C@H](CC)CC(O)(CC)CC)C[C@H]1O";"IC50";"'='";"1.55";"nM";"8.81";"";"";"UO_0000065";"19.20";"0.36";"2.08";"14.52";"False";"CHEMBL3267968";"Displacement of [3H]-1-alpha,25-dihydroxyvitamin D3 from N-terminal GST-tagged human recombinant VDR LBD expressed in Escherichia coli Rosetta2 (DE3) after 16 hrs";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3259623";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL410893";"";"0";"374.57";"1";"5.72";"9";"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL858933";"Inhibition of transactivation of human VDR in COS7 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149414";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307648";""
"CHEMBL2409532";"";"0";"784.01";"2";"0.73";"DPI-02";"CC(C)C[C@H](N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1COCCCCOC[C@H](C(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)C(C)(C)NC1=O";"IC50";"'='";"430000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2412444";"Inhibition of human VDR-coactivator interaction";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2406944";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2013";"None";""
"CHEMBL4211975";"";"0";"353.37";"0";"4.02";"6b";"COC(=O)c1ccc(OCc2oc(-c3cccc(OC)c3)nc2C)cc1";"IC50";"'='";"5670.0";"nM";"5.25";"";"";"UO_0000065";"14.85";"0.28";"1.23";"7.41";"False";"CHEMBL4184921";"Antagonist activity at CMV-fused VDR (unknown origin) expressed in HEK293T cells assessed as reduction in 24-hydroxylase promoter mediated transcriptional activity by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184110";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2018";"None";""
"CHEMBL432600";"LEXACALCITOL";"0";"460.70";"1";"5.86";"3";"C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@@H](C)OCCCC(O)(CC)CC)CC[C@@H]23)C[C@@H](O)C[C@@H]1O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL858933";"Inhibition of transactivation of human VDR in COS7 cells";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS-7";"None";"";"";"";"CHEMBL1977";"Vitamin D receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149414";"1";"Scientific Literature";"J. Med. Chem.";"2006";"CHEMBL3307648";""
