"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL85707";"";"0";"323.40";"0";"3.46";"101";"CCCCCn1ncc2c(N)c(C(=O)Nc3ccccc3)cnc21";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"18.87";"0.35";"2.64";"7.11";"False";"CHEMBL652364";"Inhibition of [3H]flunitrazepam binding to GABA-A benzodiazepine receptor of rat cerebral cortex";"B";"BAO_0000221";"tissue-based format";"Rattus norvegicus";"CHEMBL3559724";"Cerebral cortex";"None";"None";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1124612";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None";""
"CHEMBL3137988";"";"0";"348.53";"0";"3.96";"19";"CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@](O)(CO)CC[C@]4(C)[C@H]3CC[C@]12C";"IC50";"'='";"2134.0";"nM";"5.67";"";"";"UO_0000065";"16.27";"0.31";"1.71";"9.86";"False";"CHEMBL680071";"Ability to allosterically modulate the binding of [35S]TBPS to gamma-aminobutyric-acid A receptor in rat brain cortical P2 membranes.";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"Membrane";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1130321";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL356082";"";"0";"127.19";"0";"0.92";"4b";"CCC1CCCNC1=O";"IC50";"'='";"8780000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL680679";"Ability to displace radioligand [35S]TBPS from Gamma-aminobutyric acid A receptor binding site in rat brain membranes";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"Brain membranes";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1130018";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL343696";"";"0";"231.34";"0";"2.93";"10b";"CCC1(Cc2ccccc2)CCCCNC1=O";"IC50";"'='";"90000.0";"nM";"4.05";"";"";"UO_0000065";"17.49";"0.33";"1.12";"13.90";"False";"CHEMBL680679";"Ability to displace radioligand [35S]TBPS from Gamma-aminobutyric acid A receptor binding site in rat brain membranes";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"Brain membranes";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1130018";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL2262043";"";"0";"296.38";"0";"2.29";"Table 4, R12C1";"CNc1nc2c(N(C)C)ncnc2n1Cc1cccc(C)c1";"IC50";"'='";"7244.36";"nM";"5.14";"";"";"UO_0000065";"17.34";"0.32";"2.85";"8.73";"False";"CHEMBL3057668";"Binding affinity to Rattus norvegicus (rat) brain GABA-A receptor benzodiazepine site";"B";"BAO_0000019";"assay format";"Rattus norvegicus";"None";"None";"None";"None";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL3046899";"1";"Scientific Literature";"Med Chem Res";"2009";"None";""
"CHEMBL1790244";"";"0";"507.72";"1";"4.70";"16";"CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)[C@@H](N5CCO[C@@H](Cc6ccccc6)C5)C[C@]4(C)[C@H]3C(=O)C[C@]12C";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"13.79";"0.26";"2.30";"10.47";"False";"CHEMBL682136";"The concentration required to inhibit 50% of binding of [35S]TBPS to Gamma-aminobutyric acid A receptor to rat whole brain membranes.";"B";"BAO_0000249";"cell membrane format";"None";"None";"None";"None";"Brain membranes";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1130383";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL100864";"";"0";"298.32";"0";"2.33";"94";"CN(C)C(=O)Cn1c(-c2ccc(F)cc2)nc2cccnc21";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL652360";"Displacement of [3H]flunitrazepam from GABA-A benzodiazepine receptor of rat cerebral cortex membrane";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3559724";"Cerebral cortex";"None";"None";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1125815";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL169484";"";"0";"273.27";"0";"1.55";"7b";"N#Cc1c(O)ncc2c1Nc1ccccc1S2(=O)=O";"IC50";"'='";"11000.0";"nM";"4.96";"";"";"UO_0000065";"18.15";"0.36";"3.41";"4.81";"False";"CHEMBL650179";"Inhibition of binding of tritiated 3[H]diazepam radioligand to rat brain homogenates";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1122231";"1";"Scientific Literature";"J. Med. Chem.";"1983";"None";""
"CHEMBL3144702";"";"0";"367.41";"0";"4.45";"9";"O=c1c2cnc3cccc(OCc4ccccc4)c3c2[nH]n1-c1ccccc1";"IC50";"'>'";"1000000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL650833";"Inhibition of [3H]-Ro- 15-1788 binding to GABA-A benzodiazepine receptor in rat brain membrane";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"None";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1128271";"1";"Scientific Literature";"J. Med. Chem.";"1995";"None";""
"CHEMBL358540";"";"0";"169.27";"0";"2.09";"10a";"CCC1(CC)CCCCNC1=O";"IC50";"'='";"380000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL680679";"Ability to displace radioligand [35S]TBPS from Gamma-aminobutyric acid A receptor binding site in rat brain membranes";"B";"BAO_0000249";"cell membrane format";"Rattus norvegicus";"CHEMBL3638188";"Brain";"None";"Brain membranes";"";"";"";"CHEMBL1907607";"GABA-A receptor; anion channel";"Rattus norvegicus";"PROTEIN COMPLEX GROUP";"CHEMBL1130018";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
