"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3401614";"";"0";"381.50";"0";"4.69";"42";"CCc1c(C(=O)NCCc2ccc(N(CC)CC)cc2)[nH]c2ccc(F)cc12";"IC50";"'='";"361.0";"nM";"6.44";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3406966";"Antagonist activity at human CB1 receptor expressed in CHO-RD-HGA16 cells assessed as inhibition of CP55940-induced calcium mobilization incubated for 15 mins prior to CP55940 addition by FLIPR assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"RD-HGA16";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3399946";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2015";"None";""
"CHEMBL394055";"";"0";"585.46";"2";"6.38";"5i";"N#Cc1cc(-c2ccc(Cl)cc2)c(-c2ccccc2Cl)nc1N1CCN(S(=O)(=O)c2cc(F)cc(F)c2)CC1";"IC50";"'='";"3.8";"nM";"8.42";"";"";"UO_0000065";"14.38";"0.29";"2.04";"10.89";"False";"CHEMBL903520";"Binding affinity at CB1 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139131";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL395422";"";"0";"373.48";"0";"3.13";"14";"Cc1ccc(NC(=O)c2ccc(C)c(S(=O)(=O)N3CCCCC3)c2)nc1";"IC50";"'='";"3162.28";"nM";"5.50";"";"";"UO_0000065";"14.73";"0.29";"2.37";"6.93";"False";"CHEMBL901144";"Binding affinity to human recombinant CB1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138374";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1481494";"";"0";"528.59";"2";"5.57";"SID99303186";"COc1ccc(-c2cc(C(=O)Nc3ccc(S(=O)(=O)Nc4onc(C)c4C)cc3)c3ccccc3n2)cc1";"IC50";"'='";"16900.0";"nM";"4.77";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1738396";"PUBCHEM_BIOASSAY: SAR analysis of antagonists of the Cannabinoid Receptor 1 using an Image-Based Assay - Set 4. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2013, AID2026]";"F";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1553629";"";"0";"409.96";"1";"5.35";"1; Org27569";"CCc1c(C(=O)NCCc2ccc(N3CCCCC3)cc2)[nH]c2ccc(Cl)cc12";"IC50";"'='";"853.0";"nM";"6.07";"";"";"UO_0000065";"14.80";"0.29";"0.72";"12.61";"False";"CHEMBL4416370";"Allosteric antagonist activity at human CB1 receptor by Ca2+ assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4414612";"1";"Scientific Literature";"J Med Chem";"2019";"None";""
"CHEMBL4285088";"";"0";"500.66";"2";"6.57";"18";"CCCCCc1cc2c(c(OS(=O)(=O)c3ccc(C)cc3)c1)[C@@H]1[C@@H](OO)C(C)=CC[C@H]1C(C)(C)O2";"IC50";"'='";"1024.0";"nM";"5.99";"";"";"UO_0000065";"11.96";"0.23";"-0.58";"7.30";"False";"CHEMBL4253357";"Displacement of [3H]CP-55,940 from recombinant human full length CB1 receptor expressed in HEK293 cell membranes after 90 mins by topcount method";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4251600";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";""
"CHEMBL4072418";"";"0";"647.55";"2";"6.42";"25-(+/-)-cis";"Cc1c(C(=O)N[C@@H]2CCCC[C@@H]2N(C)C)nc(-c2ccc(Cl)cc2Cl)n1-c1ccc(OS(=O)(=O)CCC(F)(F)F)cc1";"IC50";"'='";"79.43";"nM";"7.10";"";"";"UO_0000065";"10.96";"0.23";"0.68";"7.59";"False";"CHEMBL4022834";"Antagonist activity at recombinant human CB1 receptor expressed in HEK293 cell membranes assessed as inhibition of CP55940-induced [35S]GTPgammaS binding preincubated for 1 hr followed by CP55940 addition and subsequent incubation with [35S]GTPgammaS measured after 30 mins by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4020816";"1";"Scientific Literature";"J Med Chem";"2017";"CHEMBL3307715";""
"CHEMBL1224370";"";"0";"465.53";"1";"5.83";"4";"COc1ccccc1-c1cccc(Cn2cnc3ccc(C(=O)NCc4cccc(F)c4)cc32)c1";"IC50";"'='";"104.0";"nM";"6.98";"";"";"UO_0000065";"15.00";"0.27";"1.15";"12.44";"False";"CHEMBL1225881";"Displacement of [3H]CC55940 human cannabinoid CB1 receptor expressed in CHO cells by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221379";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308072";""
"CHEMBL1224615";"";"0";"457.53";"0";"4.66";"18c";"Cn1cc(Cc2cccc(-c3cccc4c3OCO4)n2)c2cc(NC(=O)CC(C)(C)O)ccc21";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"18.14";"0.33";"3.64";"9.70";"False";"CHEMBL1225881";"Displacement of [3H]CC55940 human cannabinoid CB1 receptor expressed in CHO cells by luciferase reporter gene assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1221379";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2010";"CHEMBL3308072";""
"CHEMBL3696821";"";"0";"303.23";"0";"4.33";"BDBM163039";"CC1(C)CC(n2ncc(Cl)c(Cl)c2=O)CC(C)(C)C1";"IC50";"'>'";"10000.0";"nM";"";"";"306155";"UO_0000065";"";"";"";"";"False";"CHEMBL3706301";"Radioligand Binding Assay: Plasma membranes prepared from HEK 293 EBNA cells transfected with human CB1 or CB2 cannabinoid receptors (3.7 or 3.3 .mu.mol/mg protein, receptor concentration; PerkinElmer) were used for the radioligand binding studies. The composition of incubation buffer for CB1 assay was 50 mM Tris base, 2.5 mM EDTA, 5 mM MgCl.sub.2 and 0.5 mg/ml fatty acid free BSA and for CB2 assay was 50 mM Tris base, 2.5 mM EGTA, 5 mM MgCl.sub.2 and 1 mg/ml fatty acid free BSA; pH was adjusted to 7.4 by adding 1N HCl. Plasma membranes were diluted with incubation buffer to provide a final protein concentration of 2.4 .mu.g (CB1) or 8 .mu.g (CB2) per well in non-binding surface polystyrene 96-well assay plates (Corning). Compound solutions were prepared in silanized glass tubes and dispensed using pipette tips with SUPERSLIK.TM. surface. Competition studies were performed using a final concentration of 0.72 nM [.sup.3H]-CP 55,940 (100-180 Ci/mmol, specific activity; PerkinElmer) against test compounds.";"B";"BAO_0000366";"cell-free format";"Homo sapiens";"CHEMBL3559721";"Plasma";"EBNA";"None";"";"";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638668";"37";"BindingDB Database";"";"2015";"None";""
