"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3109802";"TBA-7371";"2";"355.40";"0";"1.22";"12";"COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"True";"CHEMBL3292128";"Inhibition of human CYP2C9";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286390";"1";"Scientific Literature";"J. Med. Chem.";"2014";"None";""
"CHEMBL4071447";"";"0";"368.30";"0";"2.84";"31";"O=C(Nc1ccc(F)cn1)c1cc(Oc2cncc(F)c2)cn2cnnc12";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4047825";"Inhibition of CYP2C9 in human liver microsomes using diclofenac as substrate pretreated for 15 mins followed by NADPH addition measured after 8 mins by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4043265";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL4457739";"";"0";"464.52";"0";"0.23";"19";"C[C@@](CCN1Cc2cc(C#CC#CC3CN(CCF)C3)cn2C1=O)(C(=O)NO)S(C)(=O)=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4325064";"Inhibition of CYP2C9 (unknown origin)";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4321867";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4472858";"";"0";"350.39";"0";"4.39";"23";"COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncc3F)cc2)c1";"IC50";"'='";"7700.0";"nM";"5.11";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4328673";"Inhibition of C-terminal 4His-tagged CYP2C9 (unknown origin) expressed in Escherichia coli by spectrophotometric analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4325872";"1";"Scientific Literature";"J Med Chem";"2018";"None";""
"CHEMBL464234";"";"0";"479.54";"0";"3.27";"18h";"C[C@H]1CN(S(=O)(=O)C[C@]23CC[C@H](C[C@@H]2O)C3(C)C)CCN1c1ncc(C(F)(F)F)cc1F";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1011726";"Inhibition of CYP2C9";"A";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139268";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3699082";"";"0";"437.78";"0";"3.83";"BDBM139228";"OC(Cn1cnnc1)(c1ccc(F)cc1F)C(F)(F)c1cnc2cc(Cl)ccc2n1";"IC50";"'='";"42000.0";"nM";"4.38";"";"273490";"UO_0000065";"10.00";"0.20";"0.55";"5.70";"False";"CHEMBL3706057";"Inhibition Assay: Solutions of each test compound were separately prepared at concentrations of 20000, 6000, 2000, 600, 200, and 60 μM by serial dilution with DMSO:MeCN (50:50 v/v). The individual test compound solutions were then diluted 20-fold with DMSO:MeCN:deionized water (5:5:180 v/v/v) to concentrations of 1000, 300, 100, 30, 10, and 3 μM. Mixtures of isozyme inhibitors (sulfaphenazole, tranylcypromine, and ketoconazole as specific inhibitors of isozymes 2C9, 2C19, and 3A4, respectively) were prepared containing each inhibitor at concentrations of 6000, 2000, 600, 200, 60, 20, 6, and 2 μM by serial dilution with DMSO:ACN (50:50 v/v). The mixed inhibitor solutions were then diluted 20-fold with DMSO:MeCN:deionized water (5:5:180 v/v/v) to concentrations of 300, 100, 30, 10, 3, 1, 0.3, and 0.1 μM. The percent of organic solvent attributable to the test compound or inhibitor mixture in the final reaction mixture was 2% v/v.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638936";"37";"BindingDB Database";"";"2014";"None";""
"CHEMBL3664718";"";"0";"488.63";"1";"6.06";"BDBM107665";"CC(C)n1cc(-c2ccc([C@H](C)N3CC[C@](CC(C)(C)O)(c4ccccc4)OC3=O)cc2)ccc1=O";"IC50";"'='";"17700.0";"nM";"4.75";"";"227542";"UO_0000065";"9.73";"0.18";"-1.31";"6.62";"False";"CHEMBL3705116";"Biological Assay Example 9: The inhibition of recombinant CYP2C9 by compounds of the invention was measured using a commercial kit from Invitrogen (cat #2859).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638974";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3401195";"";"0";"337.35";"0";"3.63";"4a";"O=C1N(c2ccc(F)cc2)CCc2nc(COc3ccccc3)cn21";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL3404394";"Inhibition of human CYP2C9";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3399974";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2015";"None";""
"CHEMBL3984048";"";"0";"298.39";"0";"3.12";"BDBM248025";"Cc1ccc2c(C(=O)OCC34CCN(CC3)CC4)c[nH]c2c1";"IC50";"'>'";"10000.0";"nM";"";"";"432850";"UO_0000065";"";"";"";"";"False";"CHEMBL3889093";"Cytochrome P450 Inhibition: Protocol 1: Studies were carried out in human liver microsomes. Human liver microsomes were purchased from BD Gentest. DMSO stocks were prepared for the test compounds. Aliquots of the DMSO solutions were diluted 1:3 by acetonitrile:ACN mixture (v/v: 40:60) to '400×' intermediate solutions, then further diluted by liver microsomes/buffer to '2×' intermediate solutions. '2×' intermediate solutions were mixed with '2×' NADPH/substrate solutions, which had been pre-warmed to 37° C. (final test compound concentrations were 10 μM, 3.3 μM, 1.1 μM, 0.37 μM, 0.122 μM, 0.041 μM, 0.0136 μM, and 0 μM). The plates were kept in a 37° C. water bath for the duration of the experiment. At the end of incubation (5 minutes for 3A4; 45 minutes for 2C19; 10 minutes for 1A2, 2C9, 2D6), 120 μL of acetonitrile was added into corresponding wells. After the final time point was sampled, the plates were shaken at a vibrator (IKA, MTS 2/4) for 10 mM (600 rpm/min) and then centrifuged at 5594 g for 15 mM (Thermo Multifuge×3R). Aliquots of the supernatant were removed, diluted 1:1 into distilled water, and analyzed by LC-MS/MS. The peak area response ratio to internal standard (PARR) of the compounds at 10 μM, 3.3 μM, 1.1 μM, 0.37 μM, 0.122 μM, 0.041 μM, and 0.0136 μM was compared to the PARR at 0 μM to determine the percent of metabolite generation from substrate at each test compound concentration.";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886940";"37";"BindingDB Database";"";"2016";"None";""
"CHEMBL2387601";"";"0";"399.88";"1";"5.51";"16";"O=c1[nH]c2cc(CCc3ccccc3)ccc2c2[nH]c(-c3ccccc3Cl)nc12";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2389927";"Inhibition of CYP2C9 in human liver microsomes after 10 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL3397";"Cytochrome P450 2C9";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2385013";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2013";"None";""
