"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL270043";"";"0";"306.34";"0";"1.80";"22";"COc1ccc(/C=N/c2ccc(S(N)(=O)=O)cc2)cc1O";"IC50";"'='";"43800.0";"nM";"4.36";"";"";"UO_0000065";"14.23";"0.28";"2.56";"4.27";"False";"CHEMBL932254";"Inhibition of COX1 in human whole blood assessed as effect on A-23187-stimulated TxB2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141614";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL270264";"";"0";"306.34";"0";"1.80";"19";"COc1cc(/C=N/c2ccc(S(N)(=O)=O)cc2)ccc1O";"IC50";"'='";"78200.0";"nM";"4.11";"";"";"UO_0000065";"13.41";"0.27";"2.31";"4.03";"False";"CHEMBL932254";"Inhibition of COX1 in human whole blood assessed as effect on A-23187-stimulated TxB2 production";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141614";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL260386";"";"0";"281.24";"0";"2.93";"22";"Nc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)nc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL936640";"Inhibition of COX1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144769";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL259972";"MOFEZOLAC";"0";"339.35";"0";"3.65";"4, mofezolac";"COc1ccc(-c2noc(CC(=O)O)c2-c2ccc(OC)cc2)cc1";"IC50";"'='";"1.4";"nM";"8.85";"";"";"UO_0000065";"26.09";"0.48";"5.20";"10.83";"False";"CHEMBL936640";"Inhibition of COX1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144769";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL122";"ROFECOXIB";"4";"314.36";"0";"2.56";"Rofecoxib";"CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1";"IC50";"'='";"11400.0";"nM";"4.94";"";"";"UO_0000065";"15.72";"0.31";"2.38";"8.18";"True";"CHEMBL769629";"Inhibitory activity against Prostaglandin G/H synthase 1 in human whole blood assay as TXB2 generation";"B";"BAO_0000221";"tissue-based format";"None";"CHEMBL3638178";"Blood";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145760";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2003";"None";""
"CHEMBL365865";"";"0";"349.42";"0";"3.47";"15";"CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)nn3ncccc23)cc1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL833051";"Inhibition of human cyclooxygenase-1 expressed in COS cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"COS";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138006";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2004";"None";""
"CHEMBL1730";"CEFOTAXIME";"4";"455.47";"1";"-0.62";"CEFOTAXIME";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909130";"DRUGMATRIX: Cyclooxygenase COX-1 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Platelet";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3833781";""
"CHEMBL452";"CLONAZEPAM";"4";"315.72";"0";"3.04";"CLONAZEPAM";"O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909130";"DRUGMATRIX: Cyclooxygenase COX-1 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Platelet";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3833781";""
"CHEMBL154";"NAPROXEN";"4";"230.26";"0";"3.04";"1";"COc1ccc2cc([C@H](C)C(=O)O)ccc2c1";"IC50";"'='";"350.0";"nM";"6.46";"";"";"UO_0000065";"28.04";"0.52";"3.42";"13.87";"False";"CHEMBL766825";"Compound was tested in vitro for inhibition of human platelet Prostaglandin G/H synthase 1 at 10 uM";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129174";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1996";"None";""
"CHEMBL597";"PHENTOLAMINE";"4";"281.36";"0";"2.84";"PHENTOLAMINE";"Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909130";"DRUGMATRIX: Cyclooxygenase COX-1 enzyme inhibition (substrate: Arachidonic acid)";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Platelet";"None";"";"";"";"CHEMBL221";"Cyclooxygenase-1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3833781";""
